X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
986032;6245488,02;Volcan;DPC;Rue du Volcan;Chemin de Faucon;Route des Mines;2000/133;28/11/2000;288 m;
986976,4;6245662,29;Edgar Quinet;Publique;Rue Edgar Quinet;Avenue du Général de Gaulle;Place de la Liberté;;;51 m;
986918,75;6245451,6;Fontaine Vieille;Publique;Rue Fontaine Vieille;Rue Marceau;Place Font-Vieille;;;33 m;
986004,77;6246165,61;François Arago;Privée;Rue François Arago;Rond-Point Grand Sud;Rue Condorcet;;25/09/1989;273 m;Arrêté n° 2014/937
987240,52;6245530,05;François Pelletier;Publique;Rue François Pelletier;Avenue Georges Clémenceau;Parking Mendès France;;;87 m;
987046,58;6245547,99;Gambetta;Publique;Rue Gambetta;Rue Jean Jaurès;Rue Marceau;;;162 m;
986945,31;6245266,17;Héliodore Pisan;Publique;Rue Héliodore Pisan;Rue Marceau;Rond-Point 1ère D.F.L;;;248 m;arrêté n° 2014/996
987317,03;6245441,35;Barbusse;Publique;Rue Henri Barbusse;Avenue Georges Clémenceau;Impasse;;;64 m;
987096,32;6245748,02;Henri Martin;Publique;Rue Henri Martin;Rue Carnot;Boulevard Michelet;2013/072;20/06/2013;75 m;arrêté n° 2014/918
986926,32;6245419,41;Hoche;Publique;Rue Hoche;Rue Gambetta;Rue Marceau;;;123 m;
986236,31;6245597,41;Jean Giono;DPC;Rue Jean Giono;Avenus Paul Cézanne;Impasse;;;41 m;Arrêté n° 2014/947
987094,48;6245582,41;Jean Jaurès;Publique;Rue Jean Jaurès;Rue Carnot;Rue Gambetta;;;59 m;
986986,77;6245499,09;Jean-Jacques Rousseau;Publique;Rue Jean-Jacques Rousseau;Rue Gambetta;Rue Diderot;;;105 m;
987116,65;6245457,09;Jules Peirin;Publique;Rue Jules Peirin;Avenue Georges Clémenceau;Traverse Victor Hugo;;;72 m;
986723,31;6244930,49;Lou Lavandies;Publique;Rue Lou Lavandies;Chemin du Carry;Chemin de Trémouriés;;21/05/1990;49 m;Arrêté n° 2013//154
987100,18;6244864,67;Marceau;Publique;Rue Marceau;Rue Gambetta;Route de La Mole;;;701 m;
986265,34;6245438,39;Marcel Pagnol;DPC;Rue Marcel Pagnol;Avenue Paul Cézanne;Impasse;;;32 m;arrêté n° 2013/155
986236,31;6245597,41;Maurin des Maures;DPC;Rue Maurin des Maures;Avenue Paul Cézanne;Impasse Charles Camoin;;;86 m;arrêté n° 2013/156
986170,86;6245766,16;Mireille;DPC;Rue Mireille;Chemin de Radasse;Impasse;99/076;17/06/1999;99 m;Arrêté n° 2012/522
986998,32;6245761,19;Nationale;Publique;Rue Nationale;Rue Diderot;Place Bellevue;;;251 m;
986971,75;6245440,34;Parmentier;Publique;Rue Parmentier;Rue Hoche;Boulevard de Lattre de Tassigny;;;188 m;
987047,23;6245462,77;Pasteur;Publique;Rue Pasteur;Avenue Georges Clémenceau;Boulevard de Lattre de Tassigny;;;133 m;Arrêté n° 2016/209
986945,62;6245700,91;Rompecul;Publique;Rue Rompecul;Rue Nationale;Rue du Piquet;99/076;17/06/1999;33 m;
986936,94;6245648,84;Saint Exupéry;Publique;Rue Saint Exupéry;Rue Nationale;Place de La Liberté;99/102;29/07/1999;37 m;
986843,83;6245102;Saint Jacques;Privée;Rue Saint Jacques;Rue Pisan;Avenue du Colombier;;;228 m;Arrêté n° 2014/995
986719,19;6245859,14;Marcel Mansui;DPC;Square Marcel Mansui;Chemin de Radasse;Parcelle AN 197;;;;
986594,27;6245552,4;Buissonière;Publique;Traverse Buissonière;Rue du Juge Michel;Avenue Louis Aragon;2010/109;14/12/2010;66 m;Arrêté n° 2014/920
987357,96;6245496,83;Gare;Communale;Traverse de la Gare;Avenue Georges Clémenceau;Rue du Stade;2015/003;23/02/2015;78m;
987240,28;6245412,68;Ecoliers;DPC;Traverse des Ecoliers;Avenue Sigismond Coulet;Impasse;2007/104;23/10/2007;53 m;
986985,6;6245715,92;Château;Publique;Traverse du Château;Rue Nationale;Rue du Piquet;2007/117;04/12/2007;39 m;
987098,06;6245508,23;Victor Hugo;Publique;Traverse Victor Hugo;Rue Pasteur;Rue Peirin;2010/109;14/12/2010;47 m;
985535,01;6244827,47;Vieux Magnan;Rurale;Vieux Chemin de Magnan;Chemin de Faucon;Chemin de Magnan;;;864 m;Arrêté n° 2012/507
990427,89;6247313,41;Port Cogolin;Privée;Voie privée;Rd Pt Eole;Rd Pt de Port Cogolin;;;;Non nommée
990888,97;6247671,03;Voie privée;Privée;Voie privée;Bouvevard des Marines;Impasse / Parcelle BE 25;;;;Non nommée
